departamento_recidencia,Año,Valor
Guatemala,2020,143253
El Progreso,2020,2286
Sacatepéquez,2020,3721
Chimaltenango,2020,4656
Escuintla,2020,11365
Santa Rosa,2020,2816
Sololá,2020,2485
Totonicapán,2020,2904
Quetzaltenango,2020,10070
Suchitepéquez,2020,6134
Retalhuleu,2020,7395
San Marcos,2020,9286
Huehuetenango,2020,10281
Quiché,2020,4812
Baja Verapaz,2020,3082
Alta Verapaz,2020,6748
Petén,2020,4322
Izabal,2020,4820
Zacapa,2020,4160
Chiquimula,2020,5257
Jalapa,2020,3544
Jutiapa,2020,7070
Extranjero,2020,694
Ignorado,2020,134
Guatemala,2021,107989
El Progreso,2021,2233
Sacatepéquez,2021,3697
Chimaltenango,2021,4372
Escuintla,2021,9504
Santa Rosa,2021,2528
Sololá,2021,2798
Totonicapán,2021,3226
Quetzaltenango,2021,11675
Suchitepéquez,2021,7156
Retalhuleu,2021,6950
San Marcos,2021,9359
Huehuetenango,2021,7942
Quiché,2021,4853
Baja Verapaz,2021,3240
Alta Verapaz,2021,7728
Petén,2021,5036
Izabal,2021,5232
Zacapa,2021,5343
Chiquimula,2021,5943
Jalapa,2021,3412
Jutiapa,2021,7204
Extranjero,2021,1034
Ignorado,2021,17
Guatemala,2022,84104
El Progreso,2022,2071
Sacatepéquez,2022,3103
Chimaltenango,2022,3636
Escuintla,2022,7647
Santa Rosa,2022,2248
Sololá,2022,2730
Totonicapán,2022,2998
Quetzaltenango,2022,12952
Suchitepéquez,2022,5226
Retalhuleu,2022,4693
San Marcos,2022,8963
Huehuetenango,2022,9988
Quiché,2022,4022
Baja Verapaz,2022,3994
Alta Verapaz,2022,8168
Petén,2022,4411
Izabal,2022,3494
Zacapa,2022,3634
Chiquimula,2022,4882
Jalapa,2022,3626
Jutiapa,2022,6390
Extranjero,2022,1354
Ignorado,2022,11
Guatemala,2023,214965
El Progreso,2023,3973
Sacatepéquez,2023,6582
Chimaltenango,2023,8865
Escuintla,2023,9889
Santa Rosa,2023,1955
Sololá,2023,3951
Totonicapán,2023,2359
Quetzaltenango,2023,12990
Suchitepéquez,2023,5412
Retalhuleu,2023,6695
San Marcos,2023,8825
Huehuetenango,2023,8463
Quiché,2023,5206
Baja Verapaz,2023,2301
Alta Verapaz,2023,9726
Petén,2023,3129
Izabal,2023,5099
Zacapa,2023,5765
Chiquimula,2023,6986
Jalapa,2023,2087
Jutiapa,2023,5953
Extranjero,2023,2750
Ignorado,2023,336
Guatemala,2024,148919
El Progreso,2024,3704
Sacatepéquez,2024,7074
Chimaltenango,2024,9674
Escuintla,2024,9035
Santa Rosa,2024,2485
Sololá,2024,3959
Totonicapán,2024,3622
Quetzaltenango,2024,19824
Suchitepéquez,2024,25606
Retalhuleu,2024,29687
San Marcos,2024,12964
Huehuetenango,2024,8982
Quiché,2024,5419
Baja Verapaz,2024,5138
Alta Verapaz,2024,9947
Petén,2024,4817
Izabal,2024,5071
Zacapa,2024,5079
Chiquimula,2024,7611
Jalapa,2024,7173
Jutiapa,2024,11291
Extranjero,2024,2285
Ignorado,2024,655
